Lat,Lon
46,-116.88
46,-118.98
45.98,-119.02
45.95,-119.07
45.93,-119.13
45.93,-119.35
45.92,-119.5
45.93,-119.57
45.87,-119.67
45.87,-119.78
45.83,-119.95
45.78,-120.13
45.73,-120.22
45.72,-120.35
45.72,-120.48
45.75,-120.55
45.75,-120.6
45.72,-120.73
45.65,-120.9
45.67,-121.05
45.62,-121.15
45.63,-121.18
45.68,-121.2
45.72,-121.3
45.72,-121.43
45.73,-121.53
45.7,-121.7
45.72,-121.82
45.7,-121.85
45.63,-121.97
45.57,-122.25
45.58,-122.37
45.58,-122.42
45.62,-122.52
45.62,-122.65
45.63,-122.7
45.68,-122.75
45.78,-122.75
45.85,-122.78
45.97,-122.8
46.02,-122.85
46.08,-122.88
46.12,-122.95
46.15,-123.03
46.18,-123.08
46.18,-123.18
46.17,-123.25
46.17,-123.33
46.18,-123.42
46.27,-123.42
46.28,-123.45
46.27,-123.58
46.28,-123.72
46.25,-123.87
46.28,-123.93
46.32,-123.98
46.27,-124.02
46.28,-124.08
46.28,-124.07
46.35,-124.03
46.65,-124.05
46.65,-124.02
46.63,-124.03
46.58,-124
46.5,-124.02
46.4,-123.98
46.4,-123.93
46.45,-123.92
46.42,-123.83
46.43,-123.83
46.45,-123.88
46.5,-123.92
46.53,-123.88
46.57,-123.88
46.63,-123.93
46.62,-123.88
46.65,-123.92
46.68,-123.9
46.72,-123.83
46.67,-123.78
46.7,-123.75
46.7,-123.78
46.75,-123.87
46.73,-123.92
46.75,-123.95
46.72,-123.95
46.75,-124.07
46.92,-124.12
46.93,-124.1
46.92,-124.08
46.87,-124.07
46.85,-124.02
46.85,-124
46.88,-124.02
46.88,-124.03
46.9,-124.03
46.98,-123.8
46.98,-123.92
47,-123.92
46.98,-123.97
47.05,-124.02
47.07,-124.07
47.07,-124.1
47.03,-124.13
46.97,-124.12
46.93,-124.15
46.98,-124.15
47.07,-124.15
47.22,-124.18
47.32,-124.23
47.33,-124.27
47.37,-124.25
47.37,-124.3
47.67,-124.35
47.75,-124.4
47.77,-124.43
47.83,-124.47
47.85,-124.5
47.88,-124.55
47.88,-124.58
48,-124.65
48.12,-124.68
48.17,-124.72
48.22,-124.67
48.25,-124.68
48.33,-124.65
48.37,-124.7
48.4,-124.72
48.38,-124.57
48.3,-124.4
48.25,-124.15
48.2,-124.03
48.18,-123.93
48.17,-123.78
48.17,-123.7
48.15,-123.62
48.15,-123.48
48.15,-123.42
48.13,-123.42
48.13,-123.35
48.13,-123.23
48.2,-123.1
48.17,-123.15
48.15,-123.08
48.12,-123.03
48.07,-123.02
48.05,-123
48.07,-122.98
48.1,-123
48.12,-122.95
48.1,-122.92
48.08,-122.9
48.07,-122.87
48.03,-122.83
48,-122.85
48.02,-122.87
48.05,-122.82
48.1,-122.87
48.12,-122.87
48.15,-122.83
48.17,-122.75
48.13,-122.73
48.12,-122.78
48.08,-122.78
47.98,-122.67
47.95,-122.67
47.9,-122.6
47.88,-122.67
47.85,-122.67
47.82,-122.72
47.7,-122.78
47.72,-122.82
47.82,-122.78
47.87,-122.8
47.8,-122.82
47.83,-122.85
47.77,-122.83
47.73,-122.87
47.67,-122.9
47.62,-122.97
47.52,-123.05
47.47,-123.1
47.37,-123.15
47.35,-123.1
47.37,-123
47.45,-122.83
47.45,-122.87
47.38,-123.02
47.4,-123.1
47.52,-123.02
47.62,-122.93
47.63,-122.9
47.68,-122.75
47.75,-122.72
47.87,-122.62
47.85,-122.58
47.83,-122.57
47.83,-122.55
47.93,-122.57
47.95,-122.6
47.92,-122.52
47.82,-122.48
47.8,-122.48
47.77,-122.45
47.75,-122.48
47.77,-122.53
47.72,-122.58
47.75,-122.65
47.7,-122.6
47.58,-122.58
47.67,-122.67
47.65,-122.68
47.6,-122.67
47.58,-122.62
47.55,-122.67
47.57,-122.6
47.6,-122.53
47.55,-122.53
47.53,-122.48
47.43,-122.55
47.37,-122.53
47.35,-122.57
47.3,-122.53
47.28,-122.57
47.32,-122.67
47.33,-122.67
47.38,-122.62
47.42,-122.62
47.4,-122.63
47.35,-122.72
47.3,-122.75
47.25,-122.72
47.23,-122.73
47.22,-122.73
47.18,-122.75
47.22,-122.78
47.27,-122.82
47.32,-122.77
47.42,-122.8
47.33,-122.83
47.3,-122.92
47.2,-122.93
47.18,-122.97
47.15,-123.07
47.15,-123
47.12,-123.07
47.13,-123.02
47.2,-122.92
47.18,-122.92
47.12,-122.95
47.15,-122.92
47.07,-122.9
47.07,-122.88
47.1,-122.88
47.15,-122.88
47.18,-122.83
47.15,-122.85
47.15,-122.8
47.18,-122.8
47.1,-122.72
47.12,-122.68
47.2,-122.57
47.28,-122.52
47.33,-122.52
47.28,-122.42
47.3,-122.38
47.33,-122.42
47.37,-122.32
47.4,-122.32
47.47,-122.35
47.5,-122.35
47.6,-122.4
47.62,-122.37
47.58,-122.33
47.62,-122.33
47.67,-122.42
47.73,-122.35
47.78,-122.38
47.83,-122.37
47.88,-122.32
47.97,-122.28
47.98,-122.22
48.02,-122.18
48.03,-122.2
48.03,-122.23
48.03,-122.27
48.08,-122.33
48.22,-122.38
48.23,-122.43
48.22,-122.45
48.17,-122.47
48.13,-122.45
48.1,-122.38
48.05,-122.35
48.05,-122.38
48.12,-122.45
48.12,-122.5
48.18,-122.53
48.23,-122.52
48.25,-122.5
48.25,-122.43
48.23,-122.38
48.3,-122.38
48.37,-122.5
48.37,-122.53
48.4,-122.57
48.43,-122.57
48.4,-122.63
48.42,-122.68
48.47,-122.67
48.5,-122.7
48.52,-122.62
48.45,-122.58
48.48,-122.57
48.45,-122.53
48.45,-122.48
48.53,-122.48
48.58,-122.57
48.58,-122.52
48.55,-122.47
48.55,-122.45
48.6,-122.43
48.7,-122.52
48.73,-122.5
48.75,-122.52
48.78,-122.58
48.75,-122.6
48.72,-122.63
48.72,-122.67
48.77,-122.65
48.8,-122.68
48.78,-122.7
48.82,-122.7
48.87,-122.77
48.92,-122.75
48.93,-122.77
48.93,-122.8
48.93,-122.82
48.97,-122.77
48.95,-122.73
48.98,-122.75
49,-122.73
49,-121.37
49,-119.93
49,-118.4
49,-117.03
46.6,-117.03
46.43,-117.02
46.37,-117.05
46.27,-116.95
46.22,-116.95
46.17,-116.92
46.1,-116.97
46.03,-116.9
46,-116.88
46,-116.88
46,-116.88
